book,문단식별자,문장식별자,원문,번역문,marker,llm_judgment,marker_type,analysis_level
시경집전(상),1195,2790,彼其之子여 邦之彦兮로다,9e10739fe931bc81,로다,True,로다,Level1
시경집전(상),1210,2824,其相與警戒之言이 如此하니 則不留於宴昵之私를 可知矣로다,ff83d2a4949aa613,로다,False,로다,Level1
시경집전(상),1213,2827,琴瑟在御 莫不靜好로다,1a783f1dfa50b4ce,로다,True,로다,Level1
시경집전(상),1215,2833,其和樂而不淫을 可見矣로다,683bbce583e2a1b2,로다,True,로다,Level1
시경집전(상),1222,2850,有女同車하니 顔如舜華로다,7f7c837d7be2e5c8,로다,True,로다,Level1
시경집전(상),1223,2851,將翺將翔하나니 佩玉瓊琚로다,ccd1344ab9bcc266,로다,True,로다,Level1
시경집전(상),1224,2852,彼美孟姜이여 洵美且都로다,4d5bec87f119694d,로다,True,로다,Level1
시경집전(상),1227,2860,有女同行하니 顔如舜英이로다,592d3a37f0cd7cf5,로다,True,로다,Level1
시경집전(상),1228,2861,將翺翔하나니 佩玉將將이로다,138e3e86a0ba516c,로다,True,로다,Level1
시경집전(상),1229,2862,彼美孟姜이여 德音不忘이로다,a5bafe5f606756a6,로다,True,로다,Level1
시경집전(상),1257,2920,狂童之狂也且로다,bfd6be8ae87d3c7b,로다,False,로다,Level1
시경집전(상),1262,2930,狂童之狂也且로다,bfd6be8ae87d3c7b,로다,False,로다,Level1
시경집전(상),1280,2957,東門之墠에 茹藘在阪이로다,6f77c2d05ce81cfa,로다,False,로다,Level1
시경집전(상),1281,2958,其室則邇나 其人甚遠이로다,1b6aa50fe77f82c2,로다,True,로다,Level1
시경집전(상),1283,2966,東門之栗에 有踐家室이로다,eba5458df37bbbd4,로다,False,로다,Level1
시경집전(상),1287,2973,風雨凄凄어늘 雞鳴喈喈로다,a89724266000c18e,로다,True,로다,Level1
시경집전(상),1291,2981,風雨瀟瀟어늘 鷄鳴膠膠로다,87516860a8718e7e,로다,True,로다,Level1
시경집전(상),1294,2987,風雨如晦어늘 鷄鳴不已로다,5ccc8312f5167bea,로다,True,로다,Level1
시경집전(상),1300,3001,靑靑子佩여 悠悠我思로다,30f1fa6859f5819f,로다,True,로다,Level1
시경집전(상),1303,3006,挑兮達兮하니 在城闕兮로다,3bbe0ac3ce165216,로다,True,로다,Level1
