seed,book_name,paragraph_id,category,pred_count,gold_count,pred_join,gold_join
1,당송팔대가문초구양수2,323,whitespace_only,7,7,"오대(五代) 때에 가까워 후당(後唐)의 청태제(淸泰帝)가, 진조(晉祖)가 태원(太原)을 진무(鎭撫)할 적에 지역이 거란(契丹)에 가까워 군대를 믿고 발호할 것을 염려하여, 운주(鄆州)로 옮기고자 의론을 하였는데, 온 조정의 선비들이 모두 간언하여 불가하다고 하였다.
청태제는 속으로 반드시 그를 옮기고자 하여, 늘 함께 도모하던 추밀직학사(樞密直學士) 설문우(薛文遇)를 밤에 불러 그에게 물어서 가부(可否)를 결정하려고 하였는데, 설문우가 대답하기를 “신이 듣기로 도로변에 집을 지으면 3년이 가도 완성하지 못한다고 하였습니다.
이 일은 결단코 폐하에게 달려 있으니, 어찌 굳이 다시 군신(群臣)에게 물어볼 것이 있겠습니까? ”라고 하니,
청태제가 크게 기뻐하여 이르기를 “술자(術者)가 내게, 금년(今年)에는 마땅히 한 사람의 현명한 보좌를 얻어서 나의 중흥(中興)을 돕게 될 것이라고 하더니, 경(卿)이 바로 그 사람이구려. ”라고 하고, 즉시 학사(學士)에게 명하여 제(制)를 기초(起草)하게 하여, 진조(晉祖)를 운주(鄆州)로 옮기게 하였다.
다음날 조서(詔書)가 선포되자, 조정에 있던 신하들이 모두 실색(失色)하였다.
6일 뒤에 진조(晉祖)가 반란을 일으켰다는 글이 이르니, 청태제가 근심하고 두려워하며 어찌할 바를 몰라, 이숭(李崧)에게 이르기를 “내가 마침 설문우(薛文遇)를 만나, 그로 인해 살이 떨릴 지경이 되었으니, 스스로 칼을 뽑아 그를 찌르고 싶다. ”라고 하니,
이숭이 대답하기를 “일이 이미 이 지경에 이르렀으니, 후회해도 소용이 없나이다. ”라고 하고, 다만 군신(君臣)이 서로 돌아보며 눈물을 흘리며 울 따름이었다.","오대(五代) 때에 가까워 후당(後唐)의 청태제(淸泰帝)가, 진조(晉祖)가 태원(太原)을 진무(鎭撫)할 적에 지역이 거란(契丹)에 가까워 군대를 믿고 발호할 것을 염려하여,  운주(鄆州)로 옮기고자 의론을 하였는데, 온 조정의 선비들이 모두 간언하여 불가하다고 하였다.
청태제는 속으로 반드시 그를 옮기고자 하여, 늘 함께 도모하던 추밀직학사(樞密直學士) 설문우(薛文遇)를 밤에 불러 그에게 물어서 가부(可否)를 결정하려고 하였는데, 설문우가 대답하기를 “신이 듣기로 도로변에 집을 지으면 3년이 가도 완성하지 못한다고 하였습니다.
이 일은 결단코 폐하에게 달려 있으니, 어찌 굳이 다시 군신(群臣)에게 물어볼 것이 있겠습니까? ”라고 하니,  청태제가 크게 기뻐하여 이르기를 “술자(術者)가 내게, 금년(今年)에는 마땅히 한 사람의 현명한 보좌를 얻어서 나의 중흥(中興)을 돕게 될 것이라고 하더니,  경(卿)이 바로 그 사람이구려. ”라고 하고, 
즉시 학사(學士)에게 명하여 제(制)를 기초(起草)하게 하여, 진조(晉祖)를 운주(鄆州)로 옮기게 하였다.
다음날 조서(詔書)가 선포되자, 조정에 있던 신하들이 모두 실색(失色)하였다.
6일 뒤에 진조(晉祖)가 반란을 일으켰다는 글이 이르니, 청태제가 근심하고 두려워하며 어찌할 바를 몰라, 이숭(李崧)에게 이르기를 “내가 마침 설문우(薛文遇)를 만나, 그로 인해 살이 떨릴 지경이 되었으니, 스스로 칼을 뽑아 그를 찌르고 싶다. ”라고 하니, 
이숭이 대답하기를 “일이 이미 이 지경에 이르렀으니, 후회해도 소용이 없나이다. ”라고 하고,  다만 군신(君臣)이 서로 돌아보며 눈물을 흘리며 울 따름이었다."
1,당송팔대가문초구양수3,179,whitespace_only,8,9,"이에 객과 함께 일어나 악수하고 크게 웃으며 “그만둡시다.
소소한 것들은 따질 만한 것이 못 되오. ”라 하고는, 잠시 후 탄식하며 말하였다. “대저 선비가 젊어서는 벼슬하고 늙어서는 물러나 쉬니, 대개 70세가 되기를 기다리지 않고 물러나 쉰 이들이 있었소.
내가 평소 그들을 사모하였으니, 이것이 마땅히 떠나야 할 첫 번째 이유라오.
내가 일찍이 당세에 등용되었지만 끝내 일컬을 만한 것이 없으니, 이것이 마땅히 떠나야 할 두 번째 이유라오.
장년(壯年)이었을 때도 오히려 이와 같았는데 지금 이미 늙고 병들었거늘 이에 힘써 일하기 어려운 근골(筋骨)로 분수에 넘치는 영예(榮譽)와 이록(利祿)을 탐한다면 이는 장차 평소 지녔던 뜻을 저버리고 스스로 식언(食言)하는 셈이니, 이것이 마땅히 떠나야 할 세 번째 이유라오.
내가 세 가지 마땅히 떠나야 할 이유를 지녔으니, 비록 다섯 가지 물건이 없다 하더라도 떠나는 것이 마땅하외다.
다시 무엇을 말하겠소. ”
희령(熙寧) 3년 9월 7일 육일거사는 스스로 전(傳)을 짓노라.","이에 객과 함께 일어나 악수하고 크게 웃으며 “그만둡시다.
소소한 것들은 따질 만한 것이 못 되오. ”라 하고는, 잠시 후 탄식하며 말하였다.
“대저 선비가 젊어서는 벼슬하고 늙어서는 물러나 쉬니, 대개 70세가 되기를 기다리지 않고 물러나 쉰 이들이 있었소.
내가 평소 그들을 사모하였으니, 이것이 마땅히 떠나야 할 첫 번째 이유라오.
내가 일찍이 당세에 등용되었지만 끝내 일컬을 만한 것이 없으니, 이것이 마땅히 떠나야 할 두 번째 이유라오.
장년(壯年)이었을 때도 오히려 이와 같았는데 지금 이미 늙고 병들었거늘 이에 힘써 일하기 어려운 근골(筋骨)로 분수에 넘치는 영예(榮譽)와 이록(利祿)을 탐한다면 이는 장차 평소 지녔던 뜻을 저버리고 스스로 식언(食言)하는 셈이니, 이것이 마땅히 떠나야 할 세 번째 이유라오.
내가 세 가지 마땅히 떠나야 할 이유를 지녔으니, 비록 다섯 가지 물건이 없다 하더라도 떠나는 것이 마땅하외다.
다시 무엇을 말하겠소. ”
희령(熙寧) 3년 9월 7일 육일거사는 스스로 전(傳)을 짓노라."
1,당송팔대가문초구양수3,329,whitespace_only,7,6,"어리석은 신은 다음과 같이 생각합니다.
국가가 서쪽으로 하황(河湟)을 평정하고 북쪽으로 거란(契丹)과 화친을 맺고부터, 군대를 쉬게 하고 쓰지 않은 지가 거의 40년이 되었습니다.
어느 날 조원호(趙元昊)가 반란하고 유주(幽州)와 연주(燕州) 역시 약속을 어겼는지라 두 변경이 소란해졌는데 노신(老臣)과 숙장(宿將) 가운데 살아 있는 이가 없었습니다.
공이 이때에 우뚝하게 중국에서 재덕 있는 사람이자 훌륭한 장수였으니, 비록 날아오는 화살과 돌을 몸소 무릅쓰면서 견고한 적을 공격하여 꺾지는 못했지만, 은혜와 신의가 이미 사졸(士卒)들을 위무하기에 충분하며 명성이 이미 사방 오랑캐들을 진동시키기에 충분하였습니다.
그래서 마침내 조정에 올라 기무(機務)를 관장하다가 노쇠함을 이유로 벼슬에서 물러났습니다.
그런데 뒤에 다시 집에서 벼슬길에 나와 부귀를 보유하고 장수를 누렸으니, 비록 옛날의 훌륭한 장수라 하더라도 이러한 데 이른 이가 몇 사람이나 되겠습니까.
변경에 나가거나 조정에 들어와서 노력하고 수고한 절개와 출사하거나 물러나거나 상관없이 깊었던 군신 사이의 정의(情意)로 말하자면, 후세 사람들을 장려하고 권면할 수 있는 것이 마치 옛 시서(詩書)에 수록된 일들과 같으니 모두 본보기가 될 만하고 기록할 만합니다.","어리석은 신은 다음과 같이 생각합니다. 국가가 서쪽으로 하황(河湟)을 평정하고 북쪽으로 거란(契丹)과 화친을 맺고부터, 군대를 쉬게 하고 쓰지 않은 지가 거의 40년이 되었습니다.
어느 날 조원호(趙元昊)가 반란하고 유주(幽州)와 연주(燕州) 역시 약속을 어겼는지라 두 변경이 소란해졌는데 노신(老臣)과 숙장(宿將) 가운데 살아 있는 이가 없었습니다.
공이 이때에 우뚝하게 중국에서 재덕 있는 사람이자 훌륭한 장수였으니, 비록 날아오는 화살과 돌을 몸소 무릅쓰면서 견고한 적을 공격하여 꺾지는 못했지만, 은혜와 신의가 이미 사졸(士卒)들을 위무하기에 충분하며 명성이 이미 사방 오랑캐들을 진동시키기에 충분하였습니다.
그래서 마침내 조정에 올라 기무(機務)를 관장하다가 노쇠함을 이유로 벼슬에서 물러났습니다.
그런데 뒤에 다시 집에서 벼슬길에 나와 부귀를 보유하고 장수를 누렸으니, 비록 옛날의 훌륭한 장수라 하더라도 이러한 데 이른 이가 몇 사람이나 되겠습니까.
변경에 나가거나 조정에 들어와서 노력하고 수고한 절개와 출사하거나 물러나거나 상관없이 깊었던 군신 사이의 정의(情意)로 말하자면, 후세 사람들을 장려하고 권면할 수 있는 것이 마치 옛 시서(詩書)에 수록된 일들과 같으니 모두 본보기가 될 만하고 기록할 만합니다."
1,당송팔대가문초구양수4,243,whitespace_only,1,2,당형천(唐荊川)이 말하였다. “이 글은 변화가 지극히 많다. ”,"당형천(唐荊川)이 말하였다.
“이 글은 변화가 지극히 많다. ”"
1,당송팔대가문초구양수4,531,normalization_only,3,3,"아, ≪시경(詩經)≫의 〈지극(止棘)〉 시(詩)는 육경(六經)에 전하고 있으니 여기에서 시인(詩人)의 사물에 대한 해박한 지식과 비흥(比興)의 정밀(精密)함을 볼 수 있다.
너를 가지고 참소하는 사람이 나라를 어지럽힘을 풍자하는 것이 마땅하다.
참으로 미워할 만하고 증오할 만하다.","아, ≪시경(詩經)≫의 〈지극(止棘)〉 시(詩)는 육경(六經)에 전하고 있으니 여기에서 시인(詩人)의 사물에 대한 해박한 지식과 비흥(比興)의 정밀(精密)함을 볼 수 있다. 
너를 가지고 참소하는 사람이 나라를 어지럽힘을 풍자하는 것이 마땅하다. 
참으로 미워할 만하고 증오할 만하다."
1,당송팔대가문초구양수6,19,whitespace_only,8,7,"소순(蘇循)은 어디 사람인지 알지 못한다.
사람됨이 교활하며 언변이 있고 아첨하면서 염치가 없어 이익만을 좇았다.
당(唐)나라를 섬겨 예부상서(禮部尙書)가 되었다.
이때 양(梁) 태조(太祖)가 이미 소종(昭宗)을 시해하고 애제(哀帝)를 옹립하니 당나라의 구신(舊臣)이 모두 분개하고 이를 갈면서 어떤 이는 머리를 숙이고 화를 입을까 두려워하였고 어떤 이는 조정을 떠나 벼슬하지 않았는데, 소순만은 양나라에 빌붙으면서 등용되기를 바랐다.
양나라 군대가 양행밀(楊行密)을 공격하였다가 비하(渒河)에서 대패하니,
태조가 마음이 조급해지고 분통이 나서 선위(禪位)를 받는 데 급급하여 당나라에 구석(九錫)을 요구하려 하였다.
신하들이 그 논의를 감당하지 못하였는데 소순이 홀로 나서서 말하기를 “양왕의 공덕은 천명(天命)을 받을 정도이니 마땅히 즉시 선위를 받아야 합니다. ”라고 하였다.
이듬해 양 태조가 즉위할 때 소순이 책례부사(冊禮副使)가 되었다.","소순(蘇循)은 어디 사람인지 알지 못한다.
사람됨이 교활하며 언변이 있고 아첨하면서 염치가 없어 이익만을 좇았다.
당(唐)나라를 섬겨 예부상서(禮部尙書)가 되었다.
이때 양(梁) 태조(太祖)가 이미 소종(昭宗)을 시해하고 애제(哀帝)를 옹립하니 당나라의 구신(舊臣)이 모두 분개하고 이를 갈면서 어떤 이는 머리를 숙이고 화를 입을까 두려워하였고 어떤 이는 조정을 떠나 벼슬하지 않았는데, 소순만은 양나라에 빌붙으면서 등용되기를 바랐다.
양나라 군대가 양행밀(楊行密)을 공격하였다가 비하(渒河)에서 대패하니, 태조가 마음이 조급해지고 분통이 나서 선위(禪位)를 받는 데 급급하여 당나라에 구석(九錫)을 요구하려 하였다.
신하들이 그 논의를 감당하지 못하였는데 소순이 홀로 나서서 말하기를 “양왕의 공덕은 천명(天命)을 받을 정도이니 마땅히 즉시 선위를 받아야 합니다. ”라고 하였다. 
이듬해 양 태조가 즉위할 때 소순이 책례부사(冊禮副使)가 되었다."
1,당송팔대가문초소순1,307,whitespace_only,12,9,"아아!
항우(項羽)는 백전백승(百戰百勝)의 재능을 가지고 있었으나 해하(垓下)에서 죽었으니, 의아해할 것이 없다.
나는 거록(鉅鹿)에서 그가 한 싸움을 관찰해보았는데, 그의 책략이 장구하지도 않고 도량도 크지 않음을 보고서, 그가 그렇게 늦게 해하(垓下)에서 죽은 것을 괴이하게 여기지 않은 적이 없었다.
항우(項羽)가 황하(黃河)를 건너고 있을 때에, 유방(劉邦)은 비로소 군대를 정돈하여 함곡관(函谷關)으로 향하기 시작하였으니,
항우(項羽)가 이때에 서둘러 군대를 이끌고 진(秦)나라로 나아가, 병사의 사기가 충만했을 때에 용병(用兵)을 했더라면 함양(咸陽)을 차지하여 천하를 제압할 수 있었을 것이다.
이러한 계책을 낼 줄도 모르고 속 좁게 진(秦)나라 장군과 보잘것없는 승부를 다투고, 이미 거록(鉅鹿)을 온전히 차지하고서도 하남(河南)․신안(新安) 사이를 배회하다가 함곡관(函谷關)에 이르니, 유방(劉邦)은 함양(咸陽)에 입성한 지가 수개월이나 되었다.
진(秦)나라 사람들은 이미 유방(劉邦)에게 편안함을 느끼고 항우(項羽)에게는 적개심을 느꼈으니, 그렇다면 그 형세상 〈진(秦)나라 사람을〉 항우(項羽)에게 억지로 복종시킬 수가 없었다.
그래서 항우(項羽)는 비록 유방(劉邦)을 한중(漢中) 땅으로 옮기기는 하였지만, 그는 끝내 팽성(彭城)에 도읍을 정함으로써 유방(劉邦)이 다시 삼진(三秦)을 평정할 수 있게 하였으니,
그렇다면 천하의 대세는 한(漢)나라에 있었지 초(楚)나라에 있지 않았다.
초(楚)나라가 비록 백전백승할 수 있더라도 오히려 무슨 이익이 있겠는가!
그러므로 “해하(垓下)에서 죽음이 예견된 것은 거록(鉅鹿)의 싸움이었다. ”
하겠다.","아아!
항우(項羽)는 백전백승(百戰百勝)의 재능을 가지고 있었으나 해하(垓下)에서 죽었으니, 의아해할 것이 없다.
나는 거록(鉅鹿)에서 그가 한 싸움을 관찰해보았는데, 그의 책략이 장구하지도 않고 도량도 크지 않음을 보고서,  그가 그렇게 늦게 해하(垓下)에서 죽은 것을 괴이하게 여기지 않은 적이 없었다.
항우(項羽)가 황하(黃河)를 건너고 있을 때에, 유방(劉邦)은 비로소 군대를 정돈하여 함곡관(函谷關)으로 향하기 시작하였으니, 항우(項羽)가 이때에 서둘러 군대를 이끌고 진(秦)나라로 나아가, 병사의 사기가 충만했을 때에 용병(用兵)을 했더라면 함양(咸陽)을 차지하여 천하를 제압할 수 있었을 것이다.
이러한 계책을 낼 줄도 모르고 속 좁게 진(秦)나라 장군과 보잘것없는 승부를 다투고, 이미 거록(鉅鹿)을 온전히 차지하고서도 하남(河南)․신안(新安) 사이를 배회하다가 함곡관(函谷關)에 이르니, 유방(劉邦)은 함양(咸陽)에 입성한 지가 수개월이나 되었다.
진(秦)나라 사람들은 이미 유방(劉邦)에게 편안함을 느끼고 항우(項羽)에게는 적개심을 느꼈으니, 그렇다면 그 형세상 〈진(秦)나라 사람을〉 항우(項羽)에게 억지로 복종시킬 수가 없었다.
그래서 항우(項羽)는 비록 유방(劉邦)을 한중(漢中) 땅으로 옮기기는 하였지만, 그는 끝내 팽성(彭城)에 도읍을 정함으로써 유방(劉邦)이 다시 삼진(三秦)을 평정할 수 있게 하였으니, 그렇다면 천하의 대세는 한(漢)나라에 있었지 초(楚)나라에 있지 않았다.
초(楚)나라가 비록 백전백승할 수 있더라도 오히려 무슨 이익이 있겠는가!
그러므로  “해하(垓下)에서 죽음이 예견된 것은 거록(鉅鹿)의 싸움이었다. ” 하겠다. "
1,당송팔대가문초소식4,94,whitespace_only,7,6,"공자(孔子)와 맹자(孟子)께서 향원(鄕原)이 덕(德)을 해침을 미워하여 광자(狂者)를 얻어 만나보고자 하셨고, 광자(狂者)를 또 만나볼 수가 없어서 견자(獧者)를 얻어 만나보고자 하셨습니다.
그리하여 공자(孔子)께서 말씀하시기를 “광자(狂者)는 진취적이고 견자(獧者)는 하지 않는 바가 있다. ”라고 하셨으니, 오늘날의 병통은 오직 광자(狂者)와 견자(獧者)를 취하지 않고 모두 향원(鄕原)을 취하는 것입니다.
이 때문에 이와 같이 나약하여 성립하지 못하는 것입니다.
공자(孔子)는 자사(子思)에게 중용(中庸)을 전수해주신 분이요, 또 맹자(孟子)는 자사(子思)에게 중용(中庸)을 전수받은 분입니다.
그런데 공자(孔子)와 맹자(孟子)가 모두 광자(狂者)와 견자(獧者)를 얻어서 함께 하고자 하셨으니, 그렇다면 천하(天下) 사람들을 분발시켜서 나태함을 진작시키려 한다면 광자(狂者)와 견자(獧者)의 어진 사람을 쓰는 것이 가장 좋습니다.
신(臣)은 그러므로 말하기를 “용렬한 사람의 의논을 깨뜨려서 공명(功名)의 문을 열어주어야만 하니,
이렇게 한 뒤에야 천하(天下)를 다스릴 수 있다. ”라고 하는 것입니다.","공자(孔子)와 맹자(孟子)께서 향원(鄕原)이 덕(德)을 해침을 미워하여 광자(狂者)를 얻어 만나보고자 하셨고, 광자(狂者)를 또 만나볼 수가 없어서 견자(獧者)를 얻어 만나보고자 하셨습니다.
그리하여 공자(孔子)께서 말씀하시기를 “광자(狂者)는 진취적이고 견자(獧者)는 하지 않는 바가 있다. ”라고 하셨으니, 오늘날의 병통은 오직 광자(狂者)와 견자(獧者)를 취하지 않고 모두 향원(鄕原)을 취하는 것입니다.
이 때문에 이와 같이 나약하여 성립하지 못하는 것입니다.
공자(孔子)는 자사(子思)에게 중용(中庸)을 전수해주신 분이요, 또 맹자(孟子)는 자사(子思)에게 중용(中庸)을 전수받은 분입니다.
그런데 공자(孔子)와 맹자(孟子)가 모두 광자(狂者)와 견자(獧者)를 얻어서 함께 하고자 하셨으니, 그렇다면 천하(天下) 사람들을 분발시켜서 나태함을 진작시키려 한다면 광자(狂者)와 견자(獧者)의 어진 사람을 쓰는 것이 가장 좋습니다.
신(臣)은 그러므로 말하기를 “용렬한 사람의 의논을 깨뜨려서 공명(功名)의 문을 열어주어야만 하니, 이렇게 한 뒤에야 천하(天下)를 다스릴 수 있다. ”라고 하는 것입니다."
1,당송팔대가문초소식4,387,whitespace_only,6,7,"다음과 같이 찬(贊)한다.
내가 제공(諸公)과 장자(長者)들에게 들으니, ‘진공필(陳公弼)은 얼굴 모습이 엄하고 싸늘하며 말씀이 확실하고 과묵하며, 면전에서 남을 꺾기를 좋아하였다.
사대부(士大夫)들이 서로 잔치하고 놀다가도 공필(公弼)이 온다는 말을 들으면 말과 웃음에 재미가 적고 술을 마셔도 즐겁지 않아서, 앉아 있던 사람들이 차츰 몸을 일으켜 떠나갔다. ’라고 하였다.
공(公)의 타고난 자품(資品)이 이와 같았으나 공(公)은 남보다 뛰어나게 확립한 바가 있었다.
간대부(諫大夫) 정창(鄭昌)이 말하기를 “산(山)에 맹수가 있으면 사람들이 명아주와 콩잎도 채취하지 못한다. ”라고 하였으며, 회남왕(淮南王) 유안(劉安)이 반란을 도모하면서 논하기를 “공손승상(公孫丞相)(공손홍(公孫弘))은 뒤집어쓰고 있는 것을 벗기는 것처럼 설득하기 쉽고, 내가 두려워하는 사람은 오직 급암(汲黯)뿐이다. ”라고 하였으니,
만약 공필(公弼)이 단정하게 조복을 입고 조정에 서 있었다면 그 위엄이 천 리의 밖에서도 적군을 물리칠 수 있었을 것이다.","다음과 같이 찬(贊)한다.
내가 제공(諸公)과 장자(長者)들에게 들으니, ‘진공필(陳公弼)은 얼굴 모습이 엄하고 싸늘하며 말씀이 확실하고 과묵하며, 면전에서 남을 꺾기를 좋아하였다.
사대부(士大夫)들이 서로 잔치하고 놀다가도 공필(公弼)이 온다는 말을 들으면 말과 웃음에 재미가 적고 술을 마셔도 즐겁지 않아서, 앉아 있던 사람들이 차츰 몸을 일으켜 떠나갔다. ’라고 하였다.
공(公)의 타고난 자품(資品)이 이와 같았으나 공(公)은 남보다 뛰어나게 확립한 바가 있었다.
간대부(諫大夫) 정창(鄭昌)이 말하기를 “산(山)에 맹수가 있으면 사람들이 명아주와 콩잎도 채취하지 못한다. ”라고 하였으며,
회남왕(淮南王) 유안(劉安)이 반란을 도모하면서 논하기를 “공손승상(公孫丞相)(공손홍(公孫弘))은 뒤집어쓰고 있는 것을 벗기는 것처럼 설득하기 쉽고, 내가 두려워하는 사람은 오직 급암(汲黯)뿐이다. ”라고 하였으니,
만약 공필(公弼)이 단정하게 조복을 입고 조정에 서 있었다면 그 위엄이 천 리의 밖에서도 적군을 물리칠 수 있었을 것이다."
1,당송팔대가문초소식5,24,whitespace_only,5,4,"후세의 군자(君子)들은 실(實)이 지극하지 못하면서 모두 건방진 마음을 가지고 있었다.
그래서 장무중(臧武仲)은 자신을 성인(聖人)이라 여겼고, 백규(白圭)는 자신을 우(禹)임금이라 여겼고, 사마장경(司馬長卿)은 자기 이름을 상여(相如)라 하였고,
양웅(揚雄)은 자신을 맹가(孟軻)라 하였고, 최호(崔浩)는 자신을 자방(子房)이라 하였다.
그러나 세상에서는 끝내 그들에게 이것을 인정해주지 않았다.
이것을 가지고 살펴보면 충헌공(忠獻公)은 보통 사람보다 훨씬 훌륭한 분인 것이다.","후세의 군자(君子)들은 실(實)이 지극하지 못하면서 모두 건방진 마음을 가지고 있었다.
그래서 장무중(臧武仲)은 자신을 성인(聖人)이라 여겼고, 백규(白圭)는 자신을 우(禹)임금이라 여겼고, 사마장경(司馬長卿)은 자기 이름을 상여(相如)라 하였고, 양웅(揚雄)은 자신을 맹가(孟軻)라 하였고, 최호(崔浩)는 자신을 자방(子房)이라 하였다.
그러나 세상에서는 끝내 그들에게 이것을 인정해주지 않았다.
이것을 가지고 살펴보면 충헌공(忠獻公)은 보통 사람보다 훨씬 훌륭한 분인 것이다."
