book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,heosa_found,has_heosa
논어집주,21,97,君子는 務本이니 本立而道生하나니,1627b71a26345f03,하나니,하나니,汎論以斷,[],False
논어집주,727,2593,故로 馬之蹄齧者는 必善走하고 其不善者는 必馴하나니,541dd022b990787b,하나니,하나니,汎論以斷,[],False
논어집주,998,3342,先進이 於禮樂에 野人也요 後進이 於禮樂에 君子也라하나니,222fd0f2686c6468,라하나니,라하나니,汎論以斷,[],False
논어집주,1093,3594,所謂大臣者는 以道事君하다가 不可則止하나니,0591d1810bff803f,하나니,하나니,汎論以斷,[],False
논어집주,1139,3776,人有秉彛는 本乎天性이언마는 知誘物化하여 遂亡其正하나니라,80368b6268658eee,하나니라,하나니라,汎論以斷,[],False
논어집주,1139,3778,閑邪存誠하여 非禮勿聽하나니라,da362a52ba2240da,하나니라,하나니라,汎論以斷,[],False
논어집주,1139,3780,人心之動이 因言以宣하나니 發禁躁妄이라야 內斯靜專하나니라,076fcf84bb86d2e9,하나니라,하나니라,汎論以斷,[],False
논어집주,1139,3781,矧是樞機라 興戎出好하나니,a519b7b4a6f22760,하나니,하나니,汎論以斷,[],False
논어집주,1139,3783,傷易則誕하고 傷煩則支하며 己肆物忤하고 出悖來違하나니,de6c4bad4b7361a2,하나니,하나니,汎論以斷,[],False
논어집주,1139,3786,哲人知幾하여 誠之於思하고 志士勵行하여 守之於爲하나니,a128666255c8cf85,하나니,하나니,汎論以斷,[],False
논어집주,1224,4030,草上之風이면 必偃하나니라,0ec6e06be195e67b,하나니라,하나니라,汎論以斷,[],False
논어집주,1329,4315,人之言曰 爲君難하며 爲臣不易라하나니,526f7253408593f1,라하나니,라하나니,汎論以斷,[],False
논어집주,1333,4321,言不可以若是其幾也어니와 人之言曰 予無樂乎爲君이요 唯其言而莫予違也라하나니,7fae361821a08b16,라하나니,라하나니,汎論以斷,[],False
논어집주,1663,5298,君子는 謀道요 不謀食하나니,1ee56ea075a16898,하나니,하나니,汎論以斷,[],False
논어집주,1725,5449,天下有道면 則禮樂征伐이 自天子出하고 天下無道면 則禮樂征伐이 自諸侯出하나니,a7ca31d1be092681,하나니,하나니,汎論以斷,[],False
논어집주,1729,5456,天下有道면 則庶人不議하나니라,19967613b44ae9d9,하나니라,하나니라,汎論以斷,[],False
논어집주,1762,5543,齊景公은 有馬千駟하되 死之日에 民無德而稱焉이요 伯夷叔齊는 餓于首陽之下하되 民到于今稱之하나니라,686b9600e40c5f17,하나니라,하나니라,汎論以斷,[],False
논어집주,1855,5768,其未得之也에는 患得之하고 旣得之하여는 患失之하나니,60e9c621f0848506,하나니,하나니,汎論以斷,[],False
논어집주,1884,5842,短喪之說은 下愚且恥言之하나니,8e9b930af86df59f,하나니,하나니,汎論以斷,[],False
논어집주,1889,5856,子生三年然後에 免於父母之懷하나니,59f9c46c9b14d9e0,하나니,하나니,汎論以斷,[],False
논어집주,2018,6274,紂之不善이 不如是之甚也니 是以로 君子惡居下流하나니,3c15d661b37fee55,하나니,하나니,汎論以斷,[],False
당송팔대가문초구양수1,329,1809,故好權之臣은 必貪位하나니,d136e1f27d718ba1,하나니,하나니,汎論以斷,[],False
당송팔대가문초구양수1,330,1821,自古君臣相得에 一言道合하야 遇事便行하나니,268ad196747f0090,하나니,하나니,汎論以斷,[],False
당송팔대가문초구양수2,240,904,是故로 學者惟俯仰徇時하야 以希祿利爲急하야 至於忘本趨末流而不返하나니,24e2bda41ed0a0b1,하나니,하나니,汎論以斷,[],False
당송팔대가문초구양수2,341,1291,是故로 均財而節兵하야 立法以制財하며 任賢以守法하며 尊名以厲賢하나니,3308fa0b9290cc80,하나니,하나니,汎論以斷,[],False
