book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,llm_judgment,marker_type,analysis_level
당송팔대가문초구양수3,471,1961,公旣樂善이요 而稱爲知人하니 士之顯于朝者가 多公所薦達이요 至擇其女之所從하야도 又得二人者하니 如此면 可謂賢也已로다,daa02801e0cd3775,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,472,1992,惟予聖考로다,451ad3a532acbb90,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,472,1996,司空侍中이로다,a14442e4c85f23e9,이로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,542,2445,繼世而卿이로다,d20a552288e81eb9,이로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,554,2500,吾居禁中하야 有求恩澤者어든 每以杜某不可告之而止者가 多於所封還也하니 其助我多矣로다,4d9c961b9498ddb8,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,559,2530,惟德之恭이로다,8e665f28f086f0c4,이로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,559,2534,四方之瞻이로다,1105a5ee86bbcf0e,이로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,559,2540,有矩有規로다,12690d1be6982ee4,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,559,2544,惟公是毗로다,3a88265c2b468274,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,559,2562,喪予元老로다,77792ad3417f5eb8,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,559,2568,萬世之詒로다,a195d99da9005f6e,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수3,600,2800,幽宮是閟로다,dffcd2c6174287f6,로다,로다,游辭以斷,False,로다,L1
당송팔대가문초구양수4,19,102,侍從之親이요 樞機之密이로다 名望三朝에 淸職峻秩이니 愷悌之仁은 宜國黃耉어늘 七十而止하니 孰云多壽리오 惟善在人하니 刻銘不朽로다,a6a0d5f67cb0f145,로다,로다,游辭以斷,True,로다,L1
당송팔대가문초구양수4,52,265,首尾分應有力하니 自班馬中來로다,694494614528887d,로다,로다,游辭以斷,True,로다,L1
