book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,llm_judgment,marker_type,analysis_level
자치통감강목1,415,1056,二十三年이라,184c24fa18b122e6,이라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초소순1,288,1856,田氏之欲肉齊久矣라,0a5ac87d2bd5f49e,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초증공1,443,2523,此君子之所以虛其心也라,9fa119bba523bd4c,라,라,汎論以斷,True,라(대조군),L3A
당송팔대가문초구양수1,515,2524,此其可納三也라,2c947548c179b826,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초유종원2,329,2142,南嶺曲이라,5f1fa04288a2dd0d,이라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초구양수3,325,1200,太守自謂也라,164f31c095650c0a,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초왕안석2,450,2423,簡而深이라,54983bc1d07af946,이라,라,汎論以斷,True,라(대조군),L3A
대학장구,113,299,修身則家可敎矣라,6aee3a549705a1e8,라,라,汎論以斷,True,라(대조군),L3A
시경집전(하),1949,4371,賦也라,8ee2540f4365747d,라,라,汎論以斷,False,라(대조군),L3A
시경집전(하),450,981,賦而興也라,c3314c809c0084dd,라,라,汎論以斷,False,라(대조군),L3A
시경집전(상),1044,2438,興也라,132140857a360a8c,라,라,汎論以斷,False,라(대조군),L3A
자치통감강목1,623,1752,二十五年이라,b31a9083d6fbc573,이라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초유종원2,241,1326,亦足風刺라,64b90998868fbd8f,라,라,汎論以斷,True,라(대조군),L3A
춘추좌씨전1,495,2413,鄭莊公於是乎有禮라,9fce184510575531,라,라,汎論以斷,False,라(대조군),L3A
시경집전(상),2605,6011,賦也라,8ee2540f4365747d,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초왕안석1,354,1637,不放倒地步라,44ea20fc46c75c7c,라,라,汎論以斷,False,라(대조군),L3A
시경집전(상),2452,5691,賦也라,8ee2540f4365747d,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초구양수2,344,1306,以此知兵驕也라,e40ceea5bb031e77,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초구양수5,300,2025,嗚呼라,b5830bc7354f4e3d,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초구양수1,50,377,臣又聞古語曰 將相無種이라,e94cc800b2a5d853,이라,라,汎論以斷,True,라(대조군),L3A
당송팔대가문초구양수6,259,1847,琪皆不能正也라,8959fc8b289825d4,라,라,汎論以斷,False,라(대조군),L3A
자치통감강목7,1892,2625,二十六年이라,5c2b1c6c53e7b72b,이라,라,汎論以斷,False,라(대조군),L3A
시경집전(상),1939,4407,興也라,132140857a360a8c,라,라,汎論以斷,False,라(대조군),L3A
예기집설대전2,1065,1530,繡覆棺之衣爲斧文이라,ca30e5f794a81627,이라,라,汎論以斷,True,라(대조군),L3A
당송팔대가문초구양수6,120,853,有司曰 此天子之禮也라,b339682da86ada8b,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초구양수1,14,90,校正史氏百家譌謬之說爲多라,dfdd5d38191f0dd7,라,라,汎論以斷,True,라(대조군),L3A
당송팔대가문초증공1,422,2420,射之用事已遠이라,f438ca5c0103f16a,이라,라,汎論以斷,True,라(대조군),L3A
당송팔대가문초왕안석2,88,433,嗚呼라,69c0d46eb718e43e,라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초왕안석2,255,1316,佳致蔚然이라,cabfa8c286b70f95,이라,라,汎論以斷,False,라(대조군),L3A
당송팔대가문초유종원2,198,931,其心乃安이라,c29e8b9934c94bfe,이라,라,汎論以斷,False,라(대조군),L3A
