book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,llm_judgment,marker_type,analysis_level
시경집전(하),1230,2661,滮池北流하여 浸彼稻田하나니라,696a88d86dd990ae,하나니라,하나니라,汎論以斷,True,하나니라,L3A
시경집전(하),1238,2676,鼓鍾于宮이어든 聲聞于外하나니라,5eac9d1cbb1e74d2,하나니라,하나니라,汎論以斷,True,하나니라,L3A
시경집전(하),2436,5407,哲夫成城이어든 哲婦傾城하나니라,2a0ff98312e893a7,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,25,128,賢者는 狎而敬之하며 畏而愛之하며 愛而知其惡하며 憎而知其善하며 積而能散하며 安安而能遷하나니라.,95015be7a89e5596,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,72,276,故로 曰非禮면 不誠不莊이라 하나니라.,5566cc1ceaa2008e,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,73,277,是以로 君子는 恭敬 撙節 退讓하야 以明禮하나니라.,0b67c56ef6f03c43,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,76,284,夫惟禽獸는 無禮라. 故로 父子聚麀하나니라.,6112871911b65a2b,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,91,334,五十曰艾니 服官政하나니라.,888e371c9eb82e44,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,91,335,六十曰耆니 指使하나니라.,9e4e74f341b7b2eb,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,91,337,八十九十曰耄요. 七年曰悼니 悼與耄는 雖有罪라도 不加刑焉하나니라.,e3145befd3a73aa9,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,106,400,越國而問焉이어든 必告之以其制하나니라.,4dde2779af403eb9,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,167,590,登城不指하며 城上不呼하나니라.,87b4df3562c70f6d,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,308,985,賀取妻者하야는 曰某子가 使某호대 聞子의 有客하고 使某로 羞라 하나니라 .,fbebc90436e40d84,하나니라,하나니라,汎論以斷,False,하나니라,L3A
예기집설대전1,366,1192,惟燕禮는 以宰夫爲獻主라 故로 君不親酌하나니라.,4625c1e287df511a,하나니라,하나니라,汎論以斷,False,하나니라,L3A
예기집설대전1,513,1594,故로 君子는 戒愼하야 不失色於人하나니라.,bf71597f8c3ed713,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,516,1618,故로 君子는 戒愼하야 不失色於人하나니라.,9ae5e5a6d51f8c17,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,521,1635,大夫가 或有罪어든 以八議定之하야 議所不赦則受刑하나니라.,7f208e9e819c5217,하나니라,하나니라,汎論以斷,True,하나니라,L3A
예기집설대전1,527,1654,疏에 曰호대 兵車는 革路也니 尙武猛無推讓이라. 故로 不式하나니라.,9d407c5f4cdd7b0a,하나니라,하나니라,汎論以斷,False,하나니라,L3A
예기집설대전1,562,1779,若大夫以下가 自祭其廟면 則使人歸賓俎하나니라.,7b134033505dca1e,하나니라,하나니라,汎論以斷,False,하나니라,L3A
예기집설대전1,584,1825,主人이 告筮者云호대 用近某日이라 하나니라 .,541b243f3eb2e609,하나니라,하나니라,汎論以斷,False,하나니라,L3A
주역전의(상),1274,3859,澤中有雷 隨니 君子以하여 嚮晦入宴息하나니라,2fa69ca637507b9f,하나니라,하나니라,汎論以斷,True,하나니라,L3A
