book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,llm_judgment,marker_type,analysis_level
자치통감강목7,1621,2252,"九眞, 日南, 合浦蠻俚皆應之라",b575bc9cc7ad31a3,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수2,168,641,噫라,24e5a6656c0e001e,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수3,542,2439,王公桓桓이라,c070c911d4fe4596,이라,라,微絶之斷,False,라,L2
자치통감강목3,124,291,六年이라,b8f92b7fd0effb11,이라,라,微絶之斷,False,라,L2
당송팔대가문초소순1,156,1005,吁라,24e5a6656c0e001e,라,라,微絶之斷,False,라,L2
당송팔대가문초소순1,212,1302,甚矣라,e482746ceebb0b2d,라,라,微絶之斷,False,라,L2
시경집전(상),1931,4396,此亦男女期會而有負約不至者라,6d6f5962ae034a0b,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수1,168,1081,此臣所謂利害甚多最難處置者也라,fe02a25d6f44b37e,라,라,微絶之斷,True,라,L2
시경집전(하),2007,4496,賦也라,8ee2540f4365747d,라,라,微絶之斷,True,라,L2
시경집전(상),834,1940,興也라,132140857a360a8c,라,라,微絶之斷,False,라,L2
주역전의(상),1536,4594,故无敢用文以折獄也라,87374b625f2cb8e8,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수2,384,1503,此亦耗之一端也라,39a8c89e0026b9d6,라,라,微絶之斷,True,라,L2
논어집주,1317,4270,孔子歎當時莫能用己也라,7d871b77e3c09e5b,라,라,微絶之斷,False,라,L2
서경집전(하),678,2636,猷라,f324e3f00efda1d6,라,라,微絶之斷,False,라,L2
시경집전(상),2215,5104,賦也라,8ee2540f4365747d,라,라,微絶之斷,False,라,L2
당송팔대가문초유종원2,317,2002,公之諱曰常謙이라,bc372bd1429e34fe,이라,라,微絶之斷,False,라,L2
주역전의(하),391,1142,是以遇元夫也라,a06664837bae6b83,라,라,微絶之斷,False,라,L2
당송팔대가문초유종원2,251,1467,懷先生之可忘이라,0ce3dfbbd2784bf1,이라,라,微絶之斷,False,라,L2
당송팔대가문초구양수1,256,1453,是謂去四大害而有四大利라,886a82c42ce7b7f9,라,라,微絶之斷,True,라,L2
자치통감강목5,408,911,神爵元年이라,eef736f34ea40650,이라,라,微絶之斷,False,라,L2
당송팔대가문초구양수1,168,1070,此其不便二也라,a3d5bcc7a431ea12,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수1,422,2165,所以雖知不便而罕肯言也라,effca51386b3299b,라,라,微絶之斷,True,라,L2
당송팔대가문초왕안석2,37,139,嗟乎라,69c0d46eb718e43e,라,라,微絶之斷,True,라,L2
논어집주,756,2694,蓋慕聖人而不知者也라,b66169f8f69f60f5,라,라,微絶之斷,True,라,L2
주역전의(상),678,2160,是爲訟而義不克也라,6ac23ed62393d4c3,라,라,微絶之斷,True,라,L2
논어집주,443,1597,夫子生知而未嘗不好學이라,4b1c5092802fd030,이라,라,微絶之斷,False,라,L2
당송팔대가문초왕안석2,145,625,又非極摯之論也라,b1558372ce6b8fe1,라,라,微絶之斷,True,라,L2
자치통감강목1,31,194,後之觀是書者 當自警省云이라,b76c34021a152914,이라,라,微絶之斷,True,라,L2
시경집전(상),1685,3817,比也라,920e5bbdbbf3601f,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수4,490,2158,中外之情乃安이라,3fb0f47e2ff71fdf,이라,라,微絶之斷,False,라,L2
당송팔대가문초유종원2,325,2069,凌與子厚同以附和王伾叔文輩坐貶이라,1c9989f5d3611c50,이라,라,微絶之斷,False,라,L2
당송팔대가문초한유3,90,534,其餘幼也라,70a3160d0618cb06,라,라,微絶之斷,False,라,L2
당송팔대가문초유종원1,64,486,是與向之兩事者無毫末差矣라,0c80ceb75735932f,라,라,微絶之斷,True,라,L2
당송팔대가문초한유1,132,636,其詞旨 與司馬相如諫獵書相參이라,4a0a93a41694e12a,이라,라,微絶之斷,False,라,L2
당송팔대가문초구양수1,130,869,臣伏思陛下必不爲左右之人而用之也라,e8a91118eaf8de84,라,라,微絶之斷,True,라,L2
자치통감강목3,1253,2895,十四年이라,db3b2453d1ed7270,이라,라,微絶之斷,False,라,L2
시경집전(상),777,1811,興也라,132140857a360a8c,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수2,365,1405,甚矣라,4d86c40091d651d5,라,라,微絶之斷,True,라,L2
시경집전(상),378,907,下三篇同이라,93b09d362ece9d00,이라,라,微絶之斷,False,라,L2
당송팔대가문초소순1,397,2515,聰又合其隣之僧屋若干於其院以成이라,02802f61edbd46c7,이라,라,微絶之斷,False,라,L2
당송팔대가문초소식5,75,229,嗟夫라,24e5a6656c0e001e,라,라,微絶之斷,False,라,L2
시경집전(상),791,1840,賦也라,8ee2540f4365747d,라,라,微絶之斷,True,라,L2
맹자집주,1185,4006,曰 否라,0d0932db2a1aa324,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수4,63,308,囹圄爲之數空이라,3c0d3acf2e3ab147,이라,라,微絶之斷,True,라,L2
당송팔대가문초구양수4,72,350,直敘逼太史公이라,0dc657f8eef6cf1d,이라,라,微絶之斷,False,라,L2
당송팔대가문초구양수1,52,398,其四曰禦戎之策이라,4154db674397b235,이라,라,微絶之斷,True,라,L2
당송팔대가문초구양수4,562,2498,余亦將以心得意會而未能至之者也라,6d3805966c50fa29,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수3,51,182,絶佳라,a41ea058f26fdcc8,라,라,微絶之斷,True,라,L2
당송팔대가문초증공1,121,744,不宣이라,fc6a5c0d1922ca05,이라,라,微絶之斷,True,라,L2
당송팔대가문초왕안석1,441,1939,亦婉이라,677298dcb5840a49,이라,라,微絶之斷,True,라,L2
당송팔대가문초구양수1,57,465,患於好疑而自用也라,812f91ae98ae4eb2,라,라,微絶之斷,False,라,L2
자치통감강목1,682,2006,燕惠王元年이라,8f9ee9024e5bdcd4,이라,라,微絶之斷,True,라,L2
논어집주,364,1283,漆雕開已見大意라,f391ad4a4244b961,라,라,微絶之斷,False,라,L2
시경집전(상),2041,4633,比也라,920e5bbdbbf3601f,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수1,354,1909,然未盡公私之利害也라,d9c08d3ed11eecc0,라,라,微絶之斷,False,라,L2
시경집전(하),1799,4042,賦也라,8ee2540f4365747d,라,라,微絶之斷,True,라,L2
논어집주,259,957,天下之無道也久矣라,cf6cc28356201e6a,라,라,微絶之斷,True,라,L2
자치통감강목1,345,882,燕桓公元年이라,db449f08a6bb4c49,이라,라,微絶之斷,True,라,L2
당송팔대가문초유종원2,244,1380,否泰旣兆其盈虛라,a8a89c77e2d086db,라,라,微絶之斷,False,라,L2
춘추좌씨전7,53,256,將以害吳也라,3688802ca0211d22,라,라,微絶之斷,True,라,L2
당송팔대가문초증공1,26,209,名言이라,c45cc79aad693284,이라,라,微絶之斷,True,라,L2
예기집설대전1,304,961,卜其吉凶이라.,ea98b72f879b86c2,이라,라,微絶之斷,True,라,L2
당송팔대가문초구양수3,507,2253,韶人負土라,3a72aad7df061486,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수6,72,542,嗚呼라,69c0d46eb718e43e,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수6,256,1808,珽曰 河南有外黃下黃이라,8ad221e693bfcdb8,이라,라,微絶之斷,True,라,L2
자치통감강목7,1394,1937,十一年이라,612ab72286a041f5,이라,라,微絶之斷,False,라,L2
당송팔대가문초소순1,93,571,嗟夫라,69c0d46eb718e43e,라,라,微絶之斷,True,라,L2
논어집주,1920,5953,夫子時將適楚라,de4fa2b184deda6e,라,라,微絶之斷,False,라,L2
시경집전(상),2313,5364,陰白雜毛曰駰이라,68b1fd3a88cb03e6,이라,라,微絶之斷,True,라,L2
당송팔대가문초구양수3,490,2122,玆惟艱哉라,7452519d146cc8b3,라,라,微絶之斷,True,라,L2
시경집전(상),1060,2476,雉性耿介라,8a5f6015c9e28eb7,라,라,微絶之斷,True,라,L2
논어집주,1441,4684,古字通用이라,6113d825a0acf8fe,이라,라,微絶之斷,True,라,L2
예기집설대전2,818,1174,三代送葬之具質文相異라,6c9c4c8d8a3e18ea,라,라,微絶之斷,False,라,L2
당송팔대가문초왕안석2,121,560,文嚴而格古라,eb994901e0d10936,라,라,微絶之斷,False,라,L2
당송팔대가문초소식5,467,1703,曠達之旨라,d405abf94961b307,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수3,490,2102,言有違從이라,de2a6222adf6d7e3,이라,라,微絶之斷,False,라,L2
맹자집주,2064,6390,手執曰搏이라,8f87cf40171f18f9,이라,라,微絶之斷,True,라,L2
당송팔대가문초구양수4,471,2077,悲痛慷慨라,1ac04a3c297dedbb,라,라,微絶之斷,False,라,L2
논어집주,1790,5617,仲尼之所謂下愚也라,a6f1f1937454d80c,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수3,392,1482,千萬一人이라,980fb8a4fe00b1e9,이라,라,微絶之斷,False,라,L2
당송팔대가문초구양수4,10,51,故陰乘而動이라,884b98640884a08d,이라,라,微絶之斷,True,라,L2
자치통감강목7,1667,2308,十八年이라,b055a28eaec17bb6,이라,라,微絶之斷,False,라,L2
자치통감강목1,22,114,宜後學之所大恨也라,126cb144a1636ecd,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수1,25,176,則自古用兵往來之徑也라,20e631ded2fe4706,라,라,微絶之斷,True,라,L2
춘추좌씨전2,495,1660,不如紓之라,39793fbd64481662,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수3,312,1161,故曰祭之略者라,d39c7abcc24e706f,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수1,386,2017,故其論捄如此라,8ed915b698aa5b2a,라,라,微絶之斷,True,라,L2
시경집전(상),762,1777,比也라,920e5bbdbbf3601f,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수2,304,1121,此其所以見黜也라,921a7c057de6e0de,라,라,微絶之斷,True,라,L2
논어집주,1939,6014,子路述夫子之意如此라,6b2d871dc7d225c8,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수2,520,2049,嗚呼라,69c0d46eb718e43e,라,라,微絶之斷,False,라,L2
