book,문단식별자,문장식별자,원문,번역문,marker_raw,marker_normalized,dansa_category,llm_judgment,marker_type,analysis_level
맹자집주,779,2806,自堯舜沒로 至此에 治亂非一이니 及紂而又一大亂也라,440bf46770fb9a93,라,라,微絶之斷,True,라,L2
시경집전(하),206,441,賦也라,8ee2540f4365747d,라,라,微絶之斷,True,라,L2
주역전의(하),82,260,而九二以中德而應於五하고 五復居中하여 以中而應中하니 其處與動이 皆得中也니 是能恒久於中也라,34d7ff6dfa5cea8a,라,라,微絶之斷,True,라,L2
춘추좌씨전5,142,721,歸以語諸大夫한대 季武子曰 晉未可媮也라,ee9ef3fa2fc09134,라,라,微絶之斷,True,라,L2
당송팔대가문초소식5,136,459,處之朞年에 而貌加豐하고 髮之白者 日以反黑하니 余旣樂其風俗之淳하고 而其吏民이 亦安余之拙也라,b3f7ea141456f5df,라,라,微絶之斷,False,라,L2
예기집설대전2,1055,1516,天子至尊이라 不見尸柩하야는 不弔服이라,a8fac3dd39221350,이라,라,微絶之斷,False,라,L2
춘추좌씨전2,802,2432,書曰 宋人弑其君杵臼라하니 君無道也라,39c392a840233902,라,라,微絶之斷,True,라,L2
시경집전(상),402,957,"胡, 寧은 皆何也라",3ddb7ea90cfba28c,라,라,微絶之斷,True,라,L2
당송팔대가문초증공1,191,1111,然位不過巡檢하고 使衆不過三五千人이라,a09ead9ecaece8fe,이라,라,微絶之斷,False,라,L2
당송팔대가문초소순1,396,2503,靈師文暢之徒는 飮酒食肉以自絶於其敎라,d508962f78d6b54b,라,라,微絶之斷,False,라,L2
당송팔대가문초한유3,335,1901,全道全素는 皆上所賜名이라,2054f72a762d89f8,이라,라,微絶之斷,False,라,L2
당송팔대가문초유종원1,108,807,今適後之하니 不爲不遇也라,d0874e5f7e9e9760,라,라,微絶之斷,True,라,L2
주역전의(상),703,2214,以中正居尊位하니 治訟者也라,9a71ad602cb4d4e6,라,라,微絶之斷,False,라,L2
당송팔대가문초구양수5,145,1033,已而오 晉王李克用卒커늘 莊宗召周德威還太原이라,8aa07b5c1241c580,이라,라,微絶之斷,False,라,L2
시경집전(상),451,1053,言昔者에 契闊之約如此로되 而今不得活하고 偕老之信如此로되 而今不得伸하니 意必死亡하여 不復得與其室家遂前約之信也라,d8bc60c3100503f2,라,라,微絶之斷,True,라,L2
당송팔대가문초구양수6,311,2291,煜手疏求從善還國이로되 太祖皇帝不許라,703594b1912e9829,라,라,微絶之斷,False,라,L2
논어집주,308,1095,放은 依也요 多怨은 謂多取怨이라,8b4df53ff9039daf,이라,라,微絶之斷,False,라,L2
서경집전(상),8,33,放은 至也니 猶孟子言放乎四海是也라,36a8cad72cb5160c,라,라,微絶之斷,False,라,L2
